19500101
28.56,20.36
30.83,19.38
31.72,19.57
33.22,17.93
33.63,18.35
33.22,18.81
33.33,18.68
32.73,19.14
27.13,21.61
26.59,22.44
29.04,22.42
31.74,21.08
32.39,20.89
32.86,21.11
31.55,22.01
28.62,23.18
29.77,23.30
31.51,21.95
32.56,21.69
32.13,21.56
32.09,22.63
32.10,21.78
31.91,21.72
32.82,21.41
33.96,21.08
32.72,21.11
32.30,21.41
30.80,21.95
32.38,21.28
32.70,21.36
33.00,20.62
30.95,21.06
31.75,20.72
29.40,21.03
32.00,18.55
32.65,20.89
33.71,19.52
33.05,19.85
34.07,20.01
34.02,21.03
34.04,21.73
34.77,21.46
34.54,20.88
33.13,22.01
33.91,21.66
34.34,20.89
33.79,21.46
32.98,21.85
34.07,21.47
34.72,20.76
34.44,21.42
34.55,21.69
34.24,21.98
33.42,21.90
33.12,22.74
33.08,22.15
32.23,22.10
29.97,23.29
28.87,22.84
33.01,21.06
31.91,22.12
32.89,21.70
34.20,20.62
33.58,20.65
33.03,21.72
34.11,20.69
32.14,21.14
31.62,22.09
31.11,22.36
32.47,22.29
33.93,20.98
33.79,20.53
34.12,20.87
34.25,20.62
32.60,22.23
30.80,22.85
29.39,22.39
31.78,21.61
32.53,20.50
31.77,22.28
33.38,20.30
32.83,21.77
31.80,23.42
29.85,23.07
29.19,23.62
28.32,24.14
27.85,23.37
29.05,23.16
29.93,22.70
28.91,23.49
32.28,23.19
34.28,19.51
33.78,19.49
33.05,20.90
30.21,22.92
32.05,22.13
33.31,20.07
33.76,20.42
33.78,20.08
34.86,19.20
35.49,20.19
34.23,19.67
31.76,21.06
30.22,22.18
29.78,22.80
31.05,22.22
32.76,21.42
33.83,19.88
34.02,18.94
32.90,19.91
31.89,21.47
30.78,22.34
32.12,20.56
31.63,19.97
31.20,20.29
32.19,19.54
33.47,19.50
32.19,19.10
31.23,19.23
31.58,18.91
32.27,19.87
32.24,19.82
32.59,19.74
30.96,19.74
30.03,19.57
31.13,18.94
28.71,20.48
29.57,18.38
28.66,19.23
26.23,19.45
28.80,15.93
29.93,15.44
29.49,16.61
28.86,18.37
29.17,18.69
29.63,17.69
29.62,17.42
28.07,18.04
29.76,18.58
30.27,18.27
31.03,16.78
28.62,19.31
29.29,20.23
29.33,18.86
31.13,18.02
30.95,16.97
30.86,16.14
30.72,15.78
31.13,16.36
31.05,16.90
30.36,17.36
30.02,17.43
29.92,17.22
29.56,17.47
29.49,17.58
29.61,18.26
28.81,18.37
29.21,18.14
28.28,18.29
29.06,17.99
28.89,17.79
28.28,18.38
28.21,18.25
29.05,19.28
27.96,18.90
28.51,18.00
28.03,17.38
27.62,16.48
27.93,16.79
28.43,17.36
28.14,17.73
28.17,17.65
28.02,17.31
27.99,16.78
28.32,16.85
