20060101
34.50,18.52
34.35,19.75
34.37,19.49
34.94,18.99
35.19,19.80
35.19,20.14
34.93,19.90
35.64,19.76
35.02,21.38
32.81,21.94
32.92,21.81
33.34,22.14
31.21,22.27
35.11,18.93
35.59,19.10
35.43,19.25
34.18,19.52
33.42,20.27
33.00,21.54
32.89,21.80
35.13,21.76
35.52,21.49
35.75,20.91
35.32,20.86
34.98,20.94
34.33,22.38
34.70,21.91
34.16,22.58
35.49,21.68
35.07,22.34
34.64,22.31
36.03,21.53
36.43,21.89
36.73,21.61
37.13,21.26
37.23,21.49
34.37,22.82
35.63,22.14
36.41,22.00
36.38,22.05
38.31,20.64
38.23,21.53
38.53,22.32
34.96,23.08
33.13,23.96
33.08,23.66
34.40,22.74
37.66,21.84
37.96,21.04
37.99,22.30
37.41,22.22
37.88,20.86
32.86,22.77
32.97,23.06
33.89,22.59
34.82,20.75
34.70,20.50
34.38,20.78
33.22,22.21
32.24,24.33
32.26,23.96
29.50,24.25
29.19,25.39
29.16,25.33
28.90,25.14
29.35,24.99
30.37,24.65
32.12,23.52
34.04,23.23
35.85,21.83
37.11,20.06
36.91,18.84
36.27,19.55
34.20,22.46
32.62,23.80
29.86,24.84
29.24,24.91
32.24,23.40
30.62,23.99
30.20,24.67
30.81,24.80
30.20,25.37
31.13,25.12
32.81,23.74
29.73,23.12
29.27,25.41
30.05,25.51
33.59,23.55
34.75,23.31
34.86,23.72
32.74,24.41
35.35,22.71
35.86,21.79
34.76,24.06
34.96,23.25
36.41,22.71
34.99,22.83
34.98,21.72
31.91,20.69
35.82,19.45
36.03,20.27
34.92,22.27
33.53,22.87
35.60,21.59
34.30,22.75
34.54,21.79
31.31,22.93
28.74,24.77
29.03,24.73
29.29,24.70
29.55,24.50
31.19,23.35
32.69,21.73
32.51,21.23
28.10,23.84
31.57,22.87
32.82,20.31
33.63,18.55
33.67,18.62
31.16,20.76
33.94,20.32
32.49,21.84
32.57,22.58
30.21,20.88
29.45,20.03
29.34,19.49
30.77,19.81
30.03,20.83
30.58,19.40
30.47,20.43
31.42,20.64
31.48,20.90
30.71,22.31
31.74,21.46
31.61,20.44
31.64,21.13
30.50,20.61
31.17,20.12
30.46,20.93
30.94,20.61
31.01,20.63
31.03,20.01
30.64,20.65
30.12,19.83
30.43,19.35
30.20,18.55
28.66,18.31
31.91,17.85
32.15,18.56
32.15,18.84
31.74,18.53
31.19,19.78
30.64,20.47
28.55,21.31
28.46,20.81
29.57,19.84
29.94,19.61
30.37,19.64
30.26,20.26
29.60,21.31
30.01,21.21
30.65,20.19
29.87,20.01
30.29,19.93
30.05,20.19
30.17,19.96
30.25,19.95
29.93,19.61
29.70,19.72
30.00,19.33
29.60,18.71
29.68,18.35
29.52,19.30
29.58,19.68
29.46,19.83
29.66,19.70
29.92,20.21
30.00,20.64
